<<<<<<< Updated upstream
,Sun2000niva_old,SUN2000Niva,SUN2000Inr,SUN2000Grp,Barn0_3,Barn4_6,Barn7_10,Barn11_15,Barn16_17,Barn18plus,Barn18_19,Barn20plus,PersonNr,FamId,FodesleAr,Alder
0,16784,331,522e,Gymnasieutbildning inom elektro- och datateknik                   ,0,0,2,0,0,0,1,0,19530510-6971,19390819-4345,1953,66
1,63822,329,542b,Gymnasieutbildning inom textil- och konfektionsteknik            ,1,1,0,0,0,0,1,0,19590709-9470,19390819-4345,1959,-5
2,13178,537,340,Ekonomutbildning (högskoleutbildning minst 3 år)                                                    ,0,0,0,0,0,0,0,0,19390819-4345,19390819-4345,1939,20
"3,94639,413,580b,""Ingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik (eftergymnasial)                                  "",0,0,0,0,0,0,0,0,19430508-3863,19390819-4345,1943,-3"
4,89027,551,312j,Samhälls- och beteendevetenskaplig högskoleutbildning (minst 3 år)                                  ,1,0,1,1,1,0,0,1,19320623-5913,19300426-4096,1932,11
"5,75821,300,999o,""Gymnasial utbildning, okänd inriktning                                                                 "",1,1,1,0,0,0,0,0,19630205-1803,19300426-4096,1963,-30"
"6,74303,55,527a,""Civilingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik                                  "",0,0,0,0,0,0,0,0,19300426-4096,19300426-4096,1930,33"
7,27105,4,481a,Programmerar- och systemerarutbildning (eftergymnasial)                                             ,0,0,0,0,0,0,0,0,19220527-3125,19220527-3125,1922,8
"8,30598,412,108z,""Minst 30 högskolepoäng inom tjänster, ej examen                                         "",0,0,0,0,0,0,0,0,19101114-7612,19101114-7612,1910,11"
9,12294,328,541c,Gymnasieutbildning inom livsmedel       ,0,0,0,0,1,0,1,0,19280422-1474,19280422-1474,1928,-17
10,83663,6,44,Naturvetenskaplig högskoleutbildning (minst 3 år)                                                   ,0,2,0,1,0,0,0,0,19411014-3558,19411014-3558,1941,-12
11,68191,333,582e,Gymnasieutbildning inom bygg                   ,1,0,0,0,0,0,0,1,19420503-7010,19420503-7010,1942,0
"12,13783,547,540x,""Civilingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik                              "",0,0,0,0,0,0,0,0,19170813-9969,19170813-9969,1917,25"
13,69247,300,101y,Gymnasial utbildning inom pedagogik och lärarutbildning                                           ,0,1,1,0,1,0,0,0,19430304-2347,19170813-9969,1943,-25
14,83538,537,143d,Förskollärarutbildning                                                                              ,1,3,0,1,0,0,0,0,19501120-9523,19440625-2846,1950,-7
15,56849,333,582e,Gymnasieutbildning inom bygg                   ,0,0,0,0,0,0,0,0,19440625-2846,19440625-2846,1944,6
16,17342,55,727x,Apotekarutbildning                                                                                  ,0,0,0,0,0,0,2,0,19641227-4229,19440625-2846,1964,-20
17,45595,6,863w,Militär utbildning på eftergymnasial nivå                                                       ,0,0,0,0,0,0,0,0,19580308-5319,19440625-2846,1958,6
18,19863,4,723h,Sjuksköterskeutbildning                                                                             ,0,0,0,0,0,0,0,0,19271229-6122,19271229-6122,1927,30
19,77335,324,543c,Gymnasieutbildning inom träteknik,0,0,0,0,0,0,0,0,19600309-3305,19271229-6122,1960,-32
"20,81586,6,525x,""Civilingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi                               "",0,0,1,1,0,0,0,0,19350417-5580,19271229-6122,1935,25"
21,97984,3,010c,Naturvetenskaplig gymnasieutbildning                                                                ,0,0,0,0,0,0,0,0,19400429-9426,19271229-6122,1940,-4
22,17659,5,727b,Receptarieutbildning                                                                                ,1,1,1,1,1,0,1,0,20010822-2661,19721113-3340,2001,-60
23,76502,327,543e,Gymnasieutbildning inom processteknik       ,2,2,0,0,0,0,0,0,19881111-8782,19721113-3340,1988,12
24,74704,331,522e,Gymnasieutbildning inom elektro- och datateknik                   ,0,0,0,0,0,0,0,0,19721113-3340,19721113-3340,1972,15
25,90639,527,529b,Övrig ingenjörsutbildning (eftergymnasial),0,0,0,0,0,0,0,0,19990801-4053,19990801-4053,1999,-26
26,18376,100,010a,Folkskoleutbildning och motsvarande                                                                 ,0,0,0,0,0,0,0,0,19841231-3792,19021205-9226,1984,14
27,55908,55,581c,Arkitekt- och landskapsarkitektutbildning                                                           ,0,0,0,0,0,0,1,1,19881125-4009,19021205-9226,1988,-4
28,92962,55,727x,Apotekarutbildning                                                                                  ,3,0,1,2,0,0,0,1,19021205-9226,19021205-9226,1902,85
29,79760,325,582f,Gymnasieutbildning inom energi och VVS       ,0,0,1,2,0,0,2,0,19571216-5883,19021205-9226,1957,-55
30,57660,300,724l,Tandvårdsutbildning på gymnasial nivå                                                               ,1,0,0,2,2,0,2,2,19840226-2549,19840226-2549,1984,-26
31,48513,200,010a,Grundskoleutbildning och motsvarande                                                                ,0,0,0,0,0,0,0,0,19901205-1268,19840226-2549,1990,-6
32,80775,547,149a,Speciallärar- och specialpedagogutbildning                                                                              ,0,0,0,1,0,0,2,0,20020313-9205,19840226-2549,2002,-11
33,60085,613,321u,Journalist- och medieutbildning (eftergymnasial)                                                    ,0,0,0,0,0,0,0,0,19490731-3964,19490731-3964,1949,53
34,58927,633,221w,Teologisk eftergymnasial utbildning (minst 3 år)                                                           ,0,0,0,0,0,0,0,0,19040326-7906,19040326-7906,1904,45
35,99342,687,211b,Humanistisk högskoleutbildning (minst 3 år)                                                         ,0,1,0,0,0,0,0,1,19991113-8708,19040326-7906,1999,-95
36,61249,5,762b,Social service- och omsorgsutbildning                                                                            ,0,0,0,0,1,0,0,0,19570227-3634,19040326-7906,1957,42
37,12599,300,210a,Estetisk utbildning på gymnasial nivå                                                               ,0,0,1,2,1,0,1,0,19660303-5338,19040326-7906,1966,-8
38,41034,4,761c,Fritidsledarutbildning (eftergymnasial)                                                             ,0,0,0,0,0,0,0,0,19880530-4858,19610401-8709,1988,-21
39,12215,500,762d,Socionomutbildning                                                                                  ,0,1,0,1,0,0,0,0,19610401-8709,19610401-8709,1961,27
40,60838,500,762d,Socionomutbildning                                                                                  ,0,0,0,0,0,0,0,0,19830101-4084,19610401-8709,1983,-21
"41,80252,412,106v,""Minst 30 högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen                         "",0,0,0,0,0,0,0,0,20010217-2159,19610401-8709,2001,-17"
42,42967,527,143e,Förskollärarutbildning                                                                              ,0,1,0,1,0,0,1,3,19290203-3409,19290203-3409,1929,72
43,10520,547,144y,Lärarutbildning för grundskolans tidiga åldrar                                                       ,0,0,0,0,0,0,0,0,19380407-2950,19290203-3409,1938,-8
44,40537,527,144g,Lärarutbildning för grundskolans tidiga åldrar                                                       ,0,0,0,0,0,0,0,0,19520127-2319,19290203-3409,1952,-13
45,13026,3,010c,Naturvetenskaplig gymnasieutbildning                                                                ,0,0,1,0,1,0,0,0,19930624-1024,19081031-7695,1993,-40
46,80967,4,761c,Fritidsledarutbildning (eftergymnasial)                                                             ,0,0,1,0,0,0,0,0,19730814-3902,19081031-7695,1973,20
47,93725,300,840e,Transportutbildning på gymnasial nivå                                                               ,0,3,0,1,0,0,1,1,19081031-7695,19081031-7695,1908,65
"48,29541,6,541a,""Civilingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik                              "",0,0,0,0,0,0,1,0,19970623-8127,19081031-7695,1997,-88"
49,85664,323,521d,Gymnasieutbildning inom verkstadsteknik,0,0,0,0,0,0,1,1,19820826-7999,19820826-7999,1982,15
50,59737,5,762b,Social service- och omsorgsutbildning                                                                            ,1,1,0,0,1,0,0,0,19120109-7005,19120109-7005,1912,70
"51,31321,532,105c,""Minst 30 högskolepoäng inom teknik och tillverkning, ej examen                                                 "",0,0,1,0,1,0,0,0,19320623-2380,19120109-7005,1932,-19"
52,72079,500,861a,Polisutbildning                                                                                     ,0,0,0,0,0,0,0,0,19881108-8510,19761224-2050,1988,-56
53,41259,4,726a,Fysioterapeututbildning                                                       ,0,0,0,0,0,0,0,0,19940106-2875,19761224-2050,1994,-5
"54,49829,413,522d,""Ingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik (eftergymnasial)                                "",0,0,0,1,0,0,1,0,19761224-2050,19761224-2050,1976,17"
55,22340,547,529x,Övrig civilingenjörsutbildning                                                  ,1,0,0,0,1,0,0,0,19371022-3642,19371022-3642,1937,39
56,28238,547,143a,Förskollärarutbildning                                                                              ,0,0,0,0,0,0,0,0,19720518-9916,19371022-3642,1972,-34
57,20856,4,727b,Receptarieutbildning                                                                                ,0,0,0,0,0,0,0,0,19590618-4886,19371022-3642,1959,13
"58,33653,412,101b,""Minst 30 högskolepoäng inom pedagogik och lärarutbildning, ej examen                                              "",0,0,0,0,0,0,1,0,19181017-7417,19181017-7417,1918,41"
"59,54723,537,527x,""Ingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik (eftergymnasial)                                  "",1,0,1,0,0,0,0,1,19950716-1035,19100916-8892,1995,-76"
60,61883,537,144w,Lärarutbildning för grundskolans tidiga åldrar                                                       ,0,0,0,0,0,0,0,0,19890204-2223,19100916-8892,1989,6
61,97644,500,762d,Socionomutbildning                                                                                  ,0,3,0,3,0,0,0,1,19100916-8892,19100916-8892,1910,79
"62,14064,312,105a,""Tekniskt gymnasium, 1-3 år                                                                          "",1,0,0,0,0,0,1,1,19410717-7061,19410717-7061,1941,-30"
"63,10303,6,213d,""Medieproduktion, eftergymnasial utbildning                                                          "",0,0,0,0,0,0,1,0,19480530-5423,19410717-7061,1948,-6"
64,73815,557,146x,Yrkeslärarutbildning                                                                                ,0,0,0,0,0,0,0,0,19990314-5703,19410717-7061,1999,-50
65,43475,3,010c,Naturvetenskaplig gymnasieutbildning                                                                ,1,0,1,0,1,0,1,0,19640826-5634,19600225-7303,1964,35
66,65945,557,149a,Speciallärar- och specialpedagogutbildning                                                                              ,0,0,0,0,0,0,0,0,19600225-7303,19600225-7303,1960,4
67,33684,100,010a,Folkskoleutbildning och motsvarande                                                                 ,0,0,0,0,0,0,0,0,19621219-3488,19600225-7303,1962,-2
"68,52524,532,103z,""Minst 30 högskolepoäng inom samhällsvetenskap, ekonomi och juridik, ej examen                              "",1,0,1,0,0,0,0,0,19320703-6587,19061024-1644,1932,30"
"69,92778,55,523a-523b,""Civilingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik                                        "",0,1,0,0,1,0,1,0,19061024-1644,19061024-1644,1906,26"
"70,55188,532,106b,""Minst 30 högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen                         "",0,0,0,0,0,0,0,0,19530207-1337,19061024-1644,1953,-46"
71,89945,666,322a,Biblioteks- och informationsvetenskaplig högskoleutbildning (minst 3 år)                            ,0,0,0,1,0,0,0,0,19810330-7819,19230914-2370,1981,-27
72,94643,6,42,Naturvetenskaplig högskoleutbildning (minst 3 år)                                                   ,0,1,0,1,0,0,1,0,19230914-2370,19230914-2370,1923,58
"73,84013,527,523f,""Ingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik (eftergymnasial)                                "",1,0,0,0,0,0,0,0,19370331-9153,19230914-2370,1937,-13"
74,63715,328,541t,Gymnasieutbildning inom livsmedel       ,1,0,2,0,0,0,0,0,19311117-1057,19230914-2370,1931,5
