PersonNr,Lan,Kommun,Forsamling,Distriktskod,FastLopNr,FastBet,Barn0_3,Barn4_6,Barn7_10,Barn11_15,Barn16_17,Barn18plus,Barn18_19,Barn20plus,FamId,Sun2000niva_old,SUN2000niva,SUN2000Inr,SUN2000Grp,CfarNr_LISA,ArbstId,AstNr_LISA,AstKommun,AstLan,KU1PeOrgNr,KU1CfarNr,KU1AstNr,KU1AstKommun,KU1AstLan,KU1YrkStalln,KU2PeOrgNr,KU2CfarNr,KU2AstNr,KU2AstKommun,KU2AstLan,KU2YrkStalln,KU3PeOrgNr,KU3CfarNr,KU3AstNr,KU3AstKommun,KU3AstLan,KU3YrkStalln,FodelseAr,DodDatum,Alder,Kon,InvUtvLand,InvUtvManad,PostTyp,FodelseLandnamn,FodelseTidMor,FodelseLandnamnMor,FodelseTidFar,FodelseLandnamnFar,UtlSvBakg,SyssStat,ArbTid,YrkStalln,KU1lnk,KU2lnk,KU3lnk,Raks_SummaInk,Raks_Huvudanknytning,Raks_EtablGrad,Raks_Forvink
19430818-9718,Dalarna county,Orsa,203402,217048,882099776,Orsa Skattungbyn 168140448,0,1,0,0,0,0,0,0,19430818-9718,57397,3,388b,Yrkesinriktad utbildning på gymnasial nivå inom handel och administration,837580961,83758096115671Vansbro730103-5377,15671,Vansbro,Dalarna county,730103-5377,837580961,15671,Vansbro,Dalarna county,1,280619-9135,231421328,03878,Gagnef,Dalarna county,1,-,-,-,0000,00,-,1943,,47,1,Sweden,1990-07,Inv,USA,1982-01-02,USA,1979-01-02,Russia,11,1,5,2,1607,1539,0,3146,1,1,0
19480331-0769,Dalarna county,Orsa,203402,217048,882099776,Orsa Skattungbyn 168140448,0,1,0,0,0,0,0,0,19430818-9718,33314,55,581d,Arkitekt- och landskapsarkitektutbildning,204654443,20465444320906Smedjebacken650310-3882,20906,Smedjebacken,Dalarna county,650310-3882,204654443,20906,Smedjebacken,Dalarna county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1948,,42,2,Poland,1980-07,Inv,Romania,1982-01-02,Brazil,1979-01-02,Turkey,11,1,5,2,812,0,0,1106,4,0,0
19600611-8818,Södermanland county,Eskilstuna,048418,212084,541915414,Eskilstuna Eskilstuna 103887877,0,0,0,0,0,0,0,0,19600611-8818,39033,329,542,Gymnasieutbildning inom textil- och konfektionsteknik,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1960,,30,1,Afghanistan,2011-04,Inv,Finland,1982-01-02,Turkey,1979-01-02,Sweden,21,6, , ,0,0,0,637,6,NULL,0
19610920-3173,Södermanland county,Eskilstuna,048418,212084,541915414,Eskilstuna Eskilstuna 103887877,0,0,0,0,0,0,0,0,19600611-8818,19273,5,762b,Social service- och omsorgsutbildning,815524259,81552425979814Katrineholm610921-4068,79814,Katrineholm,Södermanland county,610921-4068,815524259,79814,Katrineholm,Södermanland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1961,,29,1,Sweden,1991-07,Utv,Afghanistan,1982-01-02,India,1979-01-02,Iran,11,1,3,2,1035,0,0,2240,1,0,0
19371130-6472,Jämtland county,Åre,232104,322042,251829482,Åre Undersåker 15604055,0,0,0,0,0,0,0,0,19371130-6472,34695,412,3,"Minst 30 högskolepoäng inom samhällsvetenskap, ekonomi och juridik, ej examen",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1937,,53,1,Poland,1992-08,Utv,Iran,1982-01-02,Syria,1979-01-02,Denmark,11,6, , ,0,0,0,1060,5,NULL,0
19410824-3005,Jämtland county,Åre,232104,322042,251829482,Åre Undersåker 15604055,0,0,0,0,0,0,0,0,19371130-6472,33696,3,210a,Estetisk utbildning på gymnasial nivå,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1941,,49,2,Sweden,1979-06,Inv,Italy,1982-01-02,Germany,1979-01-02,Romania,11,6, , ,0,0,0,1436,5,NULL,0
19691008-9659,Kalmar county,Kalmar,088011,105006,603021047,Kalmar Rinkabyholm 203021537,0,0,0,0,0,0,0,0,19691008-9659,20561,547,581c,Arkitekt- och landskapsarkitektutbildning,285570141,28557014157755Mönsterås620218-9983,57755,Mönsterås,Kalmar county,620218-9983,285570141,57755,Mönsterås,Kalmar county,1,460703-3926,889931544,25631,Vimmerby,Kalmar county,1,-,-,-,0000,00,-,1969,,21,1,Iran,2015-08,Inv,Germany,1982-01-02,Sweden,1979-01-02,Afghanistan,21,1,5,2,1529,1034,0,3092,4,1,0
19580223-6611,Skåne county,Hörby,126602,101245,419369166,Hörby Höör 236645525,0,0,0,0,0,0,0,0,19580223-6611,25540,527,521b,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)",939748096,93974809669369Örkelljunga701103-4480,69369,Örkelljunga,Skåne county,701103-4480,939748096,69369,Örkelljunga,Skåne county,1,701230-7547,188875208,41343,Helsingborg,Skåne county,1,-,-,-,0000,00,-,1958,,32,1,Afghanistan,1964-03,Inv,Afghanistan,1982-01-02,Iran,1979-01-02,Finland,11,1,5,4,1828,1010,0,2838,6,NULL,0
19601217-0292,Västernorrland county,Örnsköldsvik,228406,321031,900048348,Örnsköldsvik Långviksmon 168767482,0,0,0,0,0,0,0,0,19601217-0292,90751,3,723o,Omvårdnads- och omsorgsutbildning på gymnasial nivå,461160291,46116029116781Ånge591112-9405,16781,Ånge,Västernorrland county,591112-9405,461160291,16781,Ånge,Västernorrland county,1,500817-3030,806971706,79757,Ånge,Västernorrland county,1,-,-,-,0000,00,-,1960,,30,1,Sweden,1981-04,Utv,Poland,1982-01-02,USA,1979-01-02,Iran,11,5,4,4,967,668,0,2077,5,NULL,0
19351105-7658,Uppsala county,Uppsala,038028,215158,599953384,Uppsala Gåvsta 286091377,0,0,0,0,0,0,0,0,19351105-7658,29524,3,4,"Yrkesinriktad gymnasieutbildning inom naturvetenskap, matematik och IKT",178366834,17836683435240Östhammar280206-0379,35240,Östhammar,Uppsala county,280206-0379,178366834,35240,Östhammar,Uppsala county,1,730827-8690,815321471,10384,Östhammar,Uppsala county,1,-,-,-,0000,00,-,1935,,55,1,Brazil,1989-04,Inv,Iran,1982-01-02,India,1979-01-02,Iraq,11,5,5,0,1147,946,0,2093,7,NULL,0
