,personNr1,personNr2,connection
0,19810721-6320,19851228-7802,partner of
0,20031231-7258,20031231-8248,partner of
0,20031231-4672,20080521-6622,partner of
0,19320114-5106,19390119-5340,partner of
0,19980831-2186,19960522-0856,partner of
0,19570319-3665,19611003-5138,partner of
0,19900326-4195,19930123-3999,partner of
0,19851017-0470,19900720-9292,partner of
0,19611222-4605,19630802-8355,partner of
0,19490428-2855,19501009-7709,partner of
0,19760827-9090,19810224-8078,partner of
0,20000229-8314,20030528-2174,partner of
0,19750708-8970,19760710-7160,partner of
0,19530923-0021,19561101-7242,partner of
0,19790202-0564,19850510-1847,partner of
0,19980101-4105,19960302-5204,partner of
1,19980101-4105,19950205-2372,partner of
2,19960302-5204,19950205-2372,partner of
0,19790201-4892,19790201-0873,partner of
0,19530213-1976,19530213-2083,partner of
0,19501004-7324,19520814-2408,partner of
0,20031231-2471,20101231-8111,partner of
0,19880118-7075,19941209-9971,partner of
0,19830109-0249,19890409-5170,partner of
0,19591212-0268,19660628-7502,partner of
0,19470516-8227,19541231-3268,partner of
0,20010705-5311,20060112-7256,partner of
0,19650413-8911,19690930-7309,partner of
0,19531204-8816,19570907-3003,partner of
0,19940905-8801,19980921-4324,partner of
0,19860329-0852,19931231-1952,partner of
0,19800102-1540,19800102-2487,partner of
0,19990212-9967,19960719-7061,partner of
0,19630709-0090,19630811-2808,partner of
0,19730831-1072,19750514-2291,partner of
0,19950603-1452,19961206-5249,partner of
0,19521230-5014,19580103-9970,partner of
0,19930825-4416,20001215-9340,partner of
0,20020819-5803,20060316-3036,partner of
0,19810424-3740,19860227-3710,partner of
0,19421027-4789,19421027-5000,partner of
0,19530617-8142,19531007-5570,partner of
1,19981218-3133,19960917-0611,partner of
0,19451110-3955,19470425-8532,partner of
1,19990323-0369,19970113-5449,partner of
0,19870417-5609,19941231-3447,partner of
0,19260421-8207,19310412-3918,partner of
0,19380803-4764,19430918-5086,partner of
0,19260206-4283,19300613-8858,partner of
0,19620816-0363,19660705-9666,partner of
0,19610912-8768,19650114-6257,partner of
0,19430414-6505,19441108-2071,partner of
0,19620510-3719,19671109-9758,partner of
0,19690919-8239,19710331-8773,partner of
0,20031231-5415,20100513-0023,partner of
0,19750204-7111,19781010-7367,partner of
0,19740306-1048,19790101-3596,partner of
0,20010804-6497,19951201-9043,partner of
0,19830615-3954,19841014-3153,partner of
