,personNr1,personNr2,connection
0,20011218-8651,20050530-7260,partner of
0,19501226-9278,19501226-9975,partner of
0,19981205-2954,19970921-7589,partner of
0,19981205-2954,19940804-1558,partner of
0,19970921-7589,19940804-1558,partner of
0,19340531-8298,19350416-1230,partner of
0,19440722-5293,19480823-0891,partner of
0,19611208-0419,19680409-1098,partner of
0,19690314-2004,19700815-9029,partner of
0,20031027-2402,19870728-1557,child of
1,19870728-1557,20031027-2402,parent of
0,19990815-4088,20020905-3916,partner of
0,19760802-2087,19780418-0636,partner of
0,19801012-4925,19830608-5608,partner of
0,19550820-5276,19610120-8151,partner of
0,19250101-7730,19290915-3781,partner of
0,19400325-0193,19420120-9962,partner of
0,19581209-0948,19630523-1257,partner of
0,19460318-5473,19480307-3466,partner of
0,19931209-9559,19980511-1899,partner of
0,20020821-3272,20080509-6406,partner of
0,20030101-6357,20101231-3990,partner of
0,19830323-7158,19841022-5047,partner of
0,19660331-1661,19720902-5382,partner of
0,19610107-9335,19661006-0168,partner of
0,19490319-1279,19530624-5171,partner of
0,19560823-2339,19591026-0099,partner of
0,19680822-6129,19750522-1473,partner of
0,19670209-2909,19690115-4254,partner of
0,19650529-6320,19690711-2265,partner of
0,19900716-9636,19900716-3874,partner of
0,19370925-0116,19430813-7987,partner of
0,19380912-9720,19410809-4154,partner of
0,19270330-9399,19330512-4385,partner of
0,19660526-4097,19701121-1282,partner of
0,20030101-2046,20071202-5477,partner of
0,19930314-3009,19951109-7356,partner of
0,19520315-0782,19520315-1169,partner of
0,19330822-7147,19360719-1257,partner of
0,19581124-7924,19630812-2767,partner of
0,19670623-7455,19690617-0730,partner of
0,19770305-1734,19821231-0558,partner of
0,20000921-7699,19951107-9218,partner of
0,19250101-3631,19321231-4198,partner of
0,19790110-3586,19840401-6786,partner of
0,19791113-4971,19850301-9194,partner of
0,19900407-5432,19930913-8106,partner of
0,19820216-1520,19890309-0844,partner of
0,19890309-0844,19960202-2014,partner of
0,19600820-6574,19640207-8490,partner of
0,20030101-4502,20051029-6666,partner of
0,19540926-4728,19581227-0946,partner of
0,19250101-3439,19310605-5910,partner of
0,19980101-0830,19961026-7790,partner of
