,personNr1,personNr2,connection
0,19401224-5703,19481012-8410,partner of
1,19290511-8293,19170327-7829,partner of
2,19610828-3867,19330619-2423,child of
3,19330619-2423,19610828-3867,parent of
4,19440618-5808,19330619-2423,partner of
5,19160102-7964,19120329-6755,partner of
6,19160102-7964,19150515-7332,partner of
7,19160102-7964,19251210-1838,partner of
8,19120329-6755,19150515-7332,partner of
9,19150515-7332,19251210-1838,partner of
10,19410310-5942,19410408-3530,partner of
11,19410310-5942,19370714-8926,partner of
12,19410408-3530,19370714-8926,partner of
13,19231231-1745,19161117-9900,partner of
14,19680916-8993,19500201-9710,child of
15,19701002-9260,19500201-9710,child of
16,19500201-9710,19680916-8993,parent of
17,19500201-9710,19701002-9260,parent of
18,19680916-8993,19650812-1635,partner of
19,19680916-8993,19701002-9260,partner of
20,19650812-1635,19701002-9260,partner of
21,19130629-2418,19150214-8340,partner of
22,19520315-5020,19490322-1553,partner of
23,19520315-5020,19420924-1380,partner of
24,19490322-1553,19420924-1380,partner of
25,19691103-3739,19601025-9914,partner of
26,19390105-5515,19050409-8917,child of
27,19050409-8917,19390105-5515,parent of
28,19130202-6759,19140414-5533,partner of
29,19130202-6759,19150120-7632,partner of
30,19140414-5533,19150120-7632,partner of
31,19650610-7316,19730224-4625,partner of
32,19330419-3204,19400611-7520,partner of
33,19540111-6270,19450417-7814,partner of
34,19320429-2109,19380803-3538,partner of
35,19320429-2109,19450417-7814,partner of
36,19380803-3538,19450417-7814,partner of
37,19350630-1999,19220816-7718,partner of
38,19431107-5658,19330526-4392,partner of
39,19431107-5658,19450401-9669,partner of
40,19330526-4392,19450401-9669,partner of
41,19090508-6653,19200608-8407,partner of
42,19630511-6331,19691125-1912,partner of
43,19541102-3108,19280829-6586,child of
44,19280829-6586,19541102-3108,parent of
45,19340114-9351,19280829-6586,partner of
46,19281008-1513,19060904-1375,child of
47,19590910-8175,19060904-1375,child of
48,19281229-9004,19060904-1375,child of
49,19060904-1375,19281008-1513,parent of
50,19060904-1375,19590910-8175,parent of
51,19060904-1375,19281229-9004,parent of
52,19281008-1513,19281229-9004,partner of
53,19450117-5614,19531020-9018,partner of
54,19140222-8460,19020920-1421,partner of
55,19540707-7981,19560808-5950,partner of
56,19400311-8940,19281119-1122,partner of
57,19110705-4861,19101025-4569,partner of
58,19570501-3895,19610712-9447,partner of
59,19600416-7737,19050223-1659,child of
60,19050223-1659,19600416-7737,parent of
61,19630917-2755,19250912-5190,child of
62,19491224-8586,19250912-5190,child of
63,19250912-5190,19630917-2755,parent of
64,19250912-5190,19491224-8586,parent of
65,19630917-2755,19491224-8586,partner of
66,19250912-5190,19181023-7057,partner of
67,19701125-9828,19550917-7295,child of
68,19710424-3240,19550917-7295,child of
69,19550917-7295,19701125-9828,parent of
70,19550917-7295,19710424-3240,parent of
71,19701125-9828,19710424-3240,partner of
72,19701125-9828,19621004-4257,partner of
73,19550917-7295,19621004-4257,partner of
74,19710424-3240,19621004-4257,partner of
75,19470717-7052,19230403-5248,child of
76,19720106-6078,19230403-5248,child of
77,19230403-5248,19470717-7052,parent of
78,19230403-5248,19720106-6078,parent of
79,19640720-3099,19021201-2130,child of
80,19021201-2130,19640720-3099,parent of
81,19021201-2130,19100909-8037,partner of
82,19651126-8361,19280213-2210,child of
83,19660119-8854,19280213-2210,child of
84,19280213-2210,19651126-8361,parent of
85,19280213-2210,19660119-8854,parent of
86,19651126-8361,19111121-9439,child of
87,19280213-2210,19111121-9439,child of
88,19660119-8854,19111121-9439,child of
89,19111121-9439,19651126-8361,parent of
90,19111121-9439,19280213-2210,parent of
91,19111121-9439,19660119-8854,parent of
92,19651126-8361,19660119-8854,partner of
93,19640325-9627,19620415-4508,partner of
94,19470204-3385,19430122-4735,partner of
95,19430122-4735,19310708-5706,partner of
96,19110530-3234,19020323-8113,partner of
97,19661106-4872,19670528-4962,partner of
98,19381106-1509,19160328-7386,child of
99,19560125-6743,19160328-7386,child of
100,19160328-7386,19381106-1509,parent of
101,19160328-7386,19560125-6743,parent of
102,19560125-6743,19381106-1509,child of
103,19381106-1509,19560125-6743,parent of
104,19680514-7186,19190313-4838,child of
105,19510910-8161,19190313-4838,child of
106,19190313-4838,19680514-7186,parent of
107,19190313-4838,19510910-8161,parent of
108,19680514-7186,19510910-8161,child of
109,19510910-8161,19680514-7186,parent of
110,19190313-4838,19080725-7870,partner of
111,19620131-5898,19630604-3228,partner of
112,19341225-5479,19471010-2954,partner of
113,19341225-5479,19390725-2144,partner of
114,19471010-2954,19390725-2144,partner of
115,19600715-4005,19420905-3545,child of
116,19420905-3545,19600715-4005,parent of
117,19370501-2762,19420905-3545,partner of
118,19370501-2762,19450418-2675,partner of
119,19420905-3545,19450418-2675,partner of
120,19341027-7628,19040228-2183,child of
121,19040228-2183,19341027-7628,parent of
122,19040228-2183,19050502-8855,partner of
123,19540909-2413,19630118-8864,partner of
124,19390502-6665,19471020-4048,partner of
125,19650818-8170,19660409-1871,partner of
126,19480622-6809,19510410-5600,partner of
127,19390201-8341,19390729-9466,partner of
128,19580814-2880,19520820-5106,partner of
129,19580814-2880,19520715-9493,partner of
130,19520820-5106,19520715-9493,partner of
131,19410124-5283,19110511-6859,child of
132,19380720-8328,19110511-6859,child of
133,19110511-6859,19410124-5283,parent of
134,19110511-6859,19380720-8328,parent of
135,19410124-5283,19380720-8328,partner of
136,19090624-4332,19180119-1781,partner of
137,19550515-4465,19541215-6858,partner of
138,19450308-7951,19360428-9909,partner of
139,19690106-4069,19621018-1402,partner of
140,19561024-4246,19281124-6339,child of
141,19610912-5223,19281124-6339,child of
142,19281124-6339,19561024-4246,parent of
143,19281124-6339,19610912-5223,parent of
144,19561024-4246,19610912-5223,partner of
145,19520322-1711,19460623-5104,partner of
146,19460623-5104,19370305-5628,partner of
147,19090224-4509,19060305-9243,partner of
148,19690731-5101,19681030-2074,partner of
149,19690731-5101,19610604-7647,partner of
150,19681030-2074,19610604-7647,partner of
151,19430417-4302,19020424-4706,child of
152,19231020-3544,19020424-4706,child of
153,19020424-4706,19430417-4302,parent of
154,19020424-4706,19231020-3544,parent of
155,19460111-8725,19430328-8373,partner of
156,19350830-3494,19390420-7863,partner of
157,19000116-8284,19111221-7894,partner of
