,Sun2000niva_old,SUN2000Niva,SUN2000Inr,SUN2000Grp,Barn0_3,Barn4_6,Barn7_10,Barn11_15,Barn16_17,Barn18plus,Barn18_19,Barn20plus,PersonNr,famID,FodesleAr,Alder
0,89571,200,010x,Grundskoleutbildning och motsvarande                                                                ,2,1,0,0,0,0,0,0,19401224-5703,19000715-5818,1940,49
1,87585,300,210a,Estetisk utbildning på gymnasial nivå                                                               ,0,0,0,0,0,0,0,0,19481012-8410,19000715-5818,1948,42
2,35299,5,725d,Biomedicinsk analytikerutbildning                                         ,0,0,0,0,0,0,0,0,19241101-4720,19000715-5818,1924,66
3,78484,300,761o,Gymnasial utbildning med inriktning mot barn och ungdom                                             ,0,0,0,0,0,0,0,0,19000715-5818,19000715-5818,1900,90
4,29802,300,621c,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård                                     ,0,1,1,1,0,1,0,0,19010903-7731,19010903-7731,1901,89
5,36605,329,542e,Gymnasieutbildning inom textil- och konfektionsteknik            ,0,0,0,0,0,0,0,0,19290511-8293,19010903-7731,1929,61
6,55219,546,526b,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)                         ",0,1,0,0,0,0,0,0,19170327-7829,19010903-7731,1917,73
7,52703,300,840m,Transportutbildning på gymnasial nivå                                                               ,0,0,0,1,0,0,0,0,19310614-9813,19030623-3792,1931,59
8,24498,6,863o,Militär utbildning på eftergymnasial nivå                                                       ,0,0,0,1,0,0,0,0,19030623-3792,19030623-3792,1903,87
9,89705,300,640b,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård                                     ,0,0,1,0,0,0,0,0,19440618-5808,19330619-2423,1944,46
10,70013,4,723b,Sjuksköterskeutbildning                                                                             ,0,0,0,0,1,0,0,0,19610828-3867,19330619-2423,1961,29
11,95770,4,761c,Fritidsledarutbildning (eftergymnasial)                                                             ,0,1,0,0,2,1,0,0,19330619-2423,19330619-2423,1933,57
12,32943,527,520b,"Ingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik (eftergymnasial)                                ",0,0,0,0,0,0,0,0,19230412-1235,19020224-9043,1923,67
13,14500,546,529b,Övrig ingenjörsutbildning (eftergymnasial),0,0,0,0,0,0,0,0,19020224-9043,19020224-9043,1902,88
14,68500,500,861a,Polisutbildning                                                                                     ,0,0,0,0,0,0,0,0,19531118-2672,19140720-1284,1953,36
15,17336,547,529a,Övrig civilingenjörsutbildning                                                  ,1,2,0,0,0,1,0,0,19140720-1284,19140720-1284,1914,76
16,32353,4,723n,Sjuksköterskeutbildning                                                                             ,0,0,0,0,0,0,0,0,19160102-7964,19120329-6755,1916,74
17,71609,324,543c,Gymnasieutbildning inom träteknik,0,1,1,1,0,0,0,0,19120329-6755,19120329-6755,1912,78
18,29947,323,521b,Gymnasieutbildning inom verkstadsteknik,0,0,0,0,0,0,0,0,19150515-7332,19120329-6755,1915,75
19,83580,300,213q,Gymnasial utbildning för medieproduktion                                                            ,1,0,0,0,1,0,0,0,19251210-1838,19120329-6755,1925,64
20,39051,4,762c,Social service- och omsorgsutbildning                                                                            ,0,0,0,0,0,0,0,0,19400812-5629,19060502-1721,1940,50
21,66221,300,622c,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård                                     ,0,0,2,1,1,0,0,0,19680629-8881,19060502-1721,1968,22
22,42375,330,525d,Gymnasieutbildning inom fordonsteknik            ,0,0,1,0,0,0,0,0,19060502-1721,19060502-1721,1906,84
23,56699,5,725d,Biomedicinsk analytikerutbildning                                         ,0,0,0,0,0,0,0,0,19240609-5322,19060502-1721,1924,66
24,13126,332,105o,"Tekniskt gymnasium, 1-3 år                                                                          ",0,0,0,0,0,0,0,0,19410310-5942,19370714-8926,1941,49
25,10956,300,388b,Yrkesinriktad utbildning på gymnasial nivå inom handel och administration                           ,0,0,0,0,0,0,0,0,19681029-7267,19370714-8926,1968,22
26,40906,531,46,Naturvetenskaplig högskoleutbildning (minst 3 år)                                                   ,0,0,0,0,0,0,0,0,19410408-3530,19370714-8926,1941,49
27,54242,5,725d,Biomedicinsk analytikerutbildning                                         ,0,0,0,0,0,0,0,0,19370714-8926,19370714-8926,1937,53
28,30324,522,106b,"Minst 30 högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen                         ",1,1,0,0,1,1,0,0,19450505-3847,19450505-3847,1945,45
29,92652,413,321e,Journalist- och medieutbildning (eftergymnasial)                                                    ,0,0,2,1,2,2,0,0,19730627-3746,19450505-3847,1973,17
30,11075,323,521u,Gymnasieutbildning inom verkstadsteknik,0,1,0,0,0,1,0,0,19241130-8543,19241130-8543,1924,65
31,35592,4,840u,Transportutbildning på eftergymnasial nivå                                                          ,0,1,0,1,0,0,0,0,19020103-5192,19020103-5192,1902,88
32,34487,557,211b,Humanistisk högskoleutbildning (minst 3 år)                                                         ,2,1,0,1,0,1,0,0,19280114-4986,19020103-5192,1928,62
33,56853,413,010c,Naturvetenskaplig gymnasieutbildning                                                                ,0,0,0,1,0,0,0,0,19420609-7134,19020103-5192,1942,48
34,18918,546,529b,Övrig ingenjörsutbildning (eftergymnasial),0,0,0,1,0,0,0,0,19701218-6076,19161117-9900,1970,19
35,66995,547,526a,"Civilingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi                               ",0,0,0,0,0,0,0,0,19231231-1745,19161117-9900,1923,66
36,43291,329,542q,Gymnasieutbildning inom textil- och konfektionsteknik            ,0,0,0,0,0,0,0,0,19161117-9900,19161117-9900,1916,73
37,85560,532,108m,"Minst 30 högskolepoäng inom tjänster, ej examen                                         ",3,2,1,0,1,2,0,0,19680916-8993,19500201-9710,1968,22
38,23267,300,811w,Hotell- och restaurangutbildning på gymnasial nivå                                                  ,0,0,0,0,0,0,0,0,19650812-1635,19500201-9710,1965,25
39,76142,331,523e,Gymnasieutbildning inom elektro- och datateknik                   ,0,0,2,0,0,1,0,0,19500201-9710,19500201-9710,1950,40
40,49582,300,622c,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård                                     ,0,0,0,0,0,0,0,0,19701002-9260,19500201-9710,1970,20
41,63176,522,106k,"Minst 30 högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen                         ",0,0,0,0,0,0,0,0,19130629-2418,19130629-2418,1913,77
42,51961,300,388b,Yrkesinriktad utbildning på gymnasial nivå inom handel och administration                           ,0,0,0,0,0,0,0,0,19150214-8340,19130629-2418,1915,75
43,88621,323,521c,Gymnasieutbildning inom verkstadsteknik,2,0,1,0,0,0,0,0,19520315-5020,19420924-1380,1952,38
44,59790,557,149a,Speciallärar- och specialpedagogutbildning                                                                              ,1,0,1,0,0,0,0,0,19490322-1553,19420924-1380,1949,41
45,35290,4,726b,Arbetsterapeututbildning                                                                            ,0,0,1,0,0,0,0,0,19420924-1380,19420924-1380,1942,48
46,34950,4,863l,Militär utbildning på eftergymnasial nivå                                                       ,0,0,0,0,0,0,0,0,19691103-3739,19050323-2329,1969,20
47,23046,500,861a,Polisutbildning                                                                                     ,0,0,2,0,0,0,0,0,19050323-2329,19050323-2329,1905,85
48,55934,557,721q,Läkarutbildning                                                                                     ,0,0,0,1,2,0,0,0,19601025-9914,19050323-2329,1960,30
49,90255,546,522d,"Ingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik (eftergymnasial)                                ",0,0,0,0,0,0,0,0,19461027-1895,19461027-1895,1946,44
50,20037,532,103f,"Minst 30 högskolepoäng inom samhällsvetenskap, ekonomi och juridik, ej examen                              ",0,0,0,0,0,0,0,0,19490315-3186,19490315-3186,1949,41
51,97734,688,380r,Juridisk högskoleutbildning (minst 3 år)                                                            ,1,1,0,0,2,1,0,0,19710202-1249,19490315-3186,1971,19
52,99729,300,622c,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård                                     ,0,0,0,0,0,0,0,0,19460718-6264,19460718-6264,1946,44
53,40985,5,863n,Militär utbildning på eftergymnasial nivå                                                       ,0,0,0,0,0,0,0,0,19510413-9651,19230614-4849,1951,39
54,74810,4,723g,Sjuksköterskeutbildning                                                                             ,0,0,0,0,0,0,0,0,19230614-4849,19230614-4849,1923,67
55,60048,5,863b,Militär utbildning på eftergymnasial nivå                                                       ,1,0,1,0,0,2,0,0,19050409-8917,19050409-8917,1905,85
56,82471,5,999e,"Eftergymnasial utbildning, okänd inriktning                                                                   ",0,1,1,1,0,1,0,0,19390105-5515,19050409-8917,1939,51
57,30313,300,213i,Gymnasial utbildning för medieproduktion                                                            ,1,0,2,0,0,1,0,0,19721217-6806,19050409-8917,1972,17
58,17722,412,210b,"Minst 30 högskolepoäng inom humaniora och konst, ej examen                                        ",0,0,2,0,0,2,0,0,19130202-6759,19130202-6759,1913,77
59,70346,557,212c,Humanistisk högskoleutbildning (minst 3 år)                                                         ,0,0,0,0,0,0,0,0,19140414-5533,19130202-6759,1914,76
60,11634,538,380w,Juridisk högskoleutbildning (minst 3 år)                                                            ,1,1,1,0,0,0,0,0,19150120-7632,19130202-6759,1915,75
61,11125,413,521b,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)                         ",0,0,0,0,0,0,0,0,19390513-4341,19130202-6759,1939,51
62,43095,412,108u,"Minst 30 högskolepoäng inom tjänster, ej examen                                         ",0,0,0,0,0,2,0,0,19141202-2413,19141202-2413,1914,75
63,43022,537,149a,Speciallärar- och specialpedagogutbildning                                                                              ,0,0,0,0,0,0,0,0,19700124-7878,19141202-2413,1970,20
64,61507,413,581x,"Ingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik (eftergymnasial)                                  ",0,0,0,0,0,0,0,0,19650610-7316,19330419-3204,1965,25
65,81521,4,726a,Fysioterapeututbildning                                                       ,0,0,0,0,0,0,0,0,19730224-4625,19330419-3204,1973,17
66,23500,537,521b,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)                         ",1,0,0,0,0,0,0,0,19330419-3204,19330419-3204,1933,57
67,80175,5,840d,Transportutbildning på eftergymnasial nivå                                                          ,3,2,0,1,0,1,0,0,19400611-7520,19330419-3204,1940,50
68,70273,325,522d,Gymnasieutbildning inom energi och VVS       ,0,0,0,0,0,0,0,0,19530226-7544,19530226-7544,1953,37
69,44974,312,340a,Ekonomisk gymnasieutbildning,2,1,0,1,0,3,0,0,19361211-3093,19230208-3854,1936,53
70,89073,547,143b,Fritidspedagogutbildning                                                                            ,3,2,0,0,1,2,0,0,19230208-3854,19230208-3854,1923,67
71,98789,522,210b,"Minst 30 högskolepoäng inom humaniora och konst, ej examen                                        ",0,1,0,0,0,0,0,0,19540111-6270,19320429-2109,1954,36
72,23533,527,144o,Lärarutbildning för grundskolans tidiga åldrar                                                       ,0,0,0,0,0,0,0,0,19320429-2109,19320429-2109,1932,58
